    ,CardCode  ,MONTH1,MONTH2,MONTH3,MONTH4,MONTH5,MONTH6,MONTH7,MONTH8,MONTH9,MONTH10,MONTH11,MONTH12,MONTH13,MONTH14,MONTH15,MONTH16,MONTH17,MONTH18,MONTH19,MONTH20,MONTH21,MONTH22,MONTH23,MONTH24,MONTH25,MONTH26,MONTH27,MONTH28,MONTH29,MONTH30,MONTH31,MONTH32,MONTH33,MONTH34,MONTH35,MONTH36,MONTH37,MONTH38,MONTH39,MONTH40,MONTH41,MONTH42,MONTH43,MONTH44,MONTH45
12  ,CC000514  ,0     ,0     ,0     ,0     ,0     ,0     ,1     ,0     ,0     ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
13  ,CC000380  ,0     ,0     ,0     ,0     ,0     ,0     ,1     ,0     ,0     ,0      ,1      ,1      ,1      ,1      ,1      ,2      ,1      ,1      ,1      ,1      ,0      ,1      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
14  ,CC000204  ,0     ,0     ,0     ,0     ,0     ,0     ,4     ,3     ,0     ,0      ,0      ,7      ,14     ,2      ,10     ,6      ,2      ,7      ,7      ,4      ,5      ,3      ,5      ,9      ,8      ,7      ,7      ,6      ,9      ,2      ,8      ,6      ,9      ,1      ,9      ,7      ,12     ,3      ,3      ,6      ,4      ,4      ,0      ,0      ,0      
15  ,CC000433  ,0     ,0     ,0     ,0     ,0     ,0     ,1     ,1     ,0     ,0      ,1      ,1      ,1      ,1      ,1      ,1      ,2      ,2      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
16  ,CC000142  ,0     ,0     ,0     ,0     ,0     ,0     ,1     ,0     ,0     ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,2      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
17  ,CC000194  ,0     ,0     ,0     ,0     ,0     ,0     ,1     ,0     ,0     ,0      ,0      ,1      ,2      ,1      ,1      ,1      ,1      ,1      ,0      ,2      ,1      ,1      ,1      ,0      ,2      ,1      ,0      ,2      ,1      ,1      ,0      ,1      ,4      ,1      ,1      ,1      ,1      ,1      ,0      ,2      ,2      ,1      ,1      ,0      ,0      
18  ,CC000198  ,0     ,0     ,0     ,0     ,0     ,0     ,2     ,0     ,0     ,1      ,1      ,2      ,3      ,3      ,3      ,3      ,2      ,3      ,3      ,3      ,3      ,2      ,2      ,2      ,3      ,2      ,4      ,3      ,3      ,4      ,3      ,5      ,4      ,2      ,2      ,3      ,2      ,3      ,3      ,2      ,1      ,3      ,0      ,0      ,0      
19  ,CC000103  ,0     ,0     ,0     ,0     ,0     ,0     ,1     ,0     ,0     ,2      ,8      ,1      ,3      ,3      ,5      ,1      ,3      ,3      ,5      ,2      ,3      ,0      ,7      ,3      ,5      ,2      ,3      ,1      ,2      ,2      ,2      ,3      ,1      ,2      ,4      ,1      ,4      ,3      ,5      ,4      ,5      ,3      ,0      ,0      ,0      
20  ,CC000196  ,0     ,0     ,0     ,0     ,0     ,0     ,3     ,0     ,1     ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,8      ,2      ,17     ,0      ,0      ,0      ,1      ,0      ,2      ,1      ,2      ,3      ,0      ,0      ,7      ,0      ,0      ,0      ,0      ,1      ,0      ,1      ,4      ,0      ,0      
21  ,CC000149  ,0     ,0     ,0     ,0     ,0     ,0     ,2     ,0     ,0     ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,3      ,3      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,0      
22  ,CC000008  ,0     ,0     ,0     ,0     ,0     ,0     ,2     ,0     ,0     ,1      ,0      ,2      ,1      ,2      ,2      ,1      ,3      ,3      ,1      ,3      ,4      ,2      ,2      ,2      ,2      ,3      ,3      ,3      ,3      ,3      ,1      ,3      ,2      ,1      ,1      ,3      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
23  ,CC000265  ,0     ,0     ,0     ,0     ,0     ,0     ,1     ,0     ,0     ,1      ,2      ,2      ,2      ,3      ,2      ,0      ,2      ,1      ,3      ,1      ,1      ,1      ,3      ,1      ,1      ,2      ,1      ,2      ,1      ,3      ,3      ,2      ,4      ,5      ,6      ,2      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
24  ,CC000113  ,0     ,0     ,0     ,0     ,0     ,0     ,1     ,0     ,0     ,1      ,1      ,7      ,2      ,0      ,3      ,2      ,1      ,2      ,3      ,1      ,3      ,2      ,6      ,0      ,3      ,2      ,3      ,1      ,2      ,1      ,3      ,1      ,1      ,3      ,0      ,3      ,2      ,4      ,2      ,1      ,2      ,2      ,0      ,0      ,0      
25  ,CC000512  ,0     ,0     ,0     ,0     ,0     ,0     ,1     ,0     ,0     ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
26  ,CC000511  ,0     ,0     ,0     ,0     ,0     ,0     ,1     ,1     ,0     ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
27  ,CC000396  ,0     ,0     ,0     ,0     ,0     ,0     ,1     ,0     ,0     ,1      ,1      ,5      ,3      ,4      ,4      ,5      ,4      ,7      ,4      ,4      ,2      ,4      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
28  ,NZC206    ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,3     ,0     ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
29  ,CC000226  ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,3     ,0     ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,1      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,1      ,1      ,1      ,1      ,2      ,1      ,0      ,1      ,1      ,1      ,2      ,1      ,2      ,1      ,0      ,0      ,0      
30  ,CC000381  ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,1     ,0     ,0      ,1      ,1      ,1      ,0      ,1      ,0      ,1      ,1      ,0      ,1      ,0      ,1      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
31  ,CC000240  ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,1     ,0     ,0      ,1      ,3      ,4      ,4      ,2      ,2      ,1      ,8      ,2      ,1      ,0      ,1      ,1      ,0      ,0      ,0      ,0      ,0      ,1      ,1      ,2      ,1      ,5      ,0      ,0      ,1      ,3      ,3      ,2      ,0      ,0      ,0      ,0      ,0      ,0      
32  ,CC000119  ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,1     ,0     ,1      ,0      ,4      ,2      ,2      ,2      ,6      ,1      ,3      ,2      ,5      ,6      ,5      ,5      ,2      ,0      ,0      ,4      ,3      ,2      ,2      ,0      ,3      ,1      ,1      ,2      ,0      ,4      ,3      ,2      ,1      ,3      ,2      ,3      ,0      ,0      
33  ,CC000229  ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,1     ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,2      ,1      ,0      ,0      ,0      ,0      ,0      
34  ,BC00000003,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,1     ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,3      
35  ,CC000474  ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,1     ,0      ,2      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
36  ,CC000484  ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,1     ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
37  ,CC000227  ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,1     ,0      ,1      ,0      ,1      ,1      ,1      ,1      ,1      ,2      ,1      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,2      ,0      ,2      ,0      ,4      ,0      ,0      ,0      ,0      
38  ,C00001    ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,1     ,0      ,0      ,8      ,8      ,9      ,21     ,8      ,7      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
39  ,CC000221  ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,2     ,0      ,2      ,1      ,1      ,1      ,2      ,1      ,1      ,1      ,1      ,1      ,1      ,0      ,1      ,1      ,1      ,2      ,2      ,1      ,1      ,2      ,1      ,1      ,1      ,1      ,1      ,1      ,2      ,2      ,1      ,1      ,0      ,0      ,0      ,0      ,0      
40  ,CC000427  ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,1     ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,2      ,3      ,3      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
41  ,CC000451  ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,2      ,0      ,1      ,1      ,2      ,1      ,1      ,2      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
42  ,CC000410  ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,1      ,1      ,1      ,1      ,1      ,3      ,2      ,2      ,2      ,4      ,4      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
43  ,CC000337  ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,4      ,3      ,1      ,7      ,3      ,2      ,3      ,3      ,5      ,2      ,2      ,3      ,4      ,2      ,0      ,2      ,2      ,2      ,2      ,5      ,3      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
44  ,CC000492  ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,3      ,4      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
45  ,CC000450  ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,3      ,4      ,5      ,3      ,5      ,7      ,11     ,5      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
46  ,CC000478  ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,2      ,1      ,0      ,0      ,2      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
47  ,CC000283  ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,1      ,0      ,0      ,0      ,1      ,1      ,2      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
48  ,CC000239  ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,2      ,2      ,2      ,5      ,4      ,3      ,3      ,3      ,5      ,6      ,4      ,4      ,4      ,3      ,4      ,4      ,4      ,4      ,4      ,4      ,3      ,3      ,5      ,2      ,2      ,4      ,6      ,3      ,5      ,1      ,0      ,0      ,0      ,0      ,0      ,0      
49  ,CC000475  ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,1      ,0      ,0      ,2      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
50  ,CC000183  ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,1      ,0      ,1      ,1      ,1      ,1      ,0      ,1      ,1      ,1      ,1      ,0      ,1      ,0      ,1      ,1      ,1      ,1      ,0      ,1      ,1      ,1      ,1      ,2      ,1      ,1      ,0      ,2      ,1      ,0      ,2      ,0      ,1      ,0      ,0      ,0      
51  ,CC000122  ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,2      ,0      ,2      ,2      ,3      ,4      ,0      ,0      ,0      ,0      ,0      ,0      ,2      ,0      ,2      ,0      ,2      ,2      ,2      ,2      ,1      ,2      ,2      ,0      ,2      ,0      ,2      ,0      ,1      ,2      ,0      ,1      ,2      ,0      ,0      ,0      
52  ,CC000057  ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,2      ,2      ,2      ,2      ,2      ,2      ,3      ,2      ,2      ,0      ,1      ,0      ,0      ,2      ,2      ,2      ,0      ,2      ,1      ,3      ,2      ,4      ,2      ,2      ,1      ,2      ,2      ,2      ,2      ,2      ,4      ,2      ,2      ,0      ,0      ,0      
53  ,NZC151    ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,1      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
54  ,CC000382  ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,3      ,1      ,2      ,2      ,3      ,0      ,2      ,3      ,1      ,2      ,2      ,3      ,5      ,0      ,5      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
55  ,CC000272  ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,1      ,0      ,1      ,2      ,0      ,2      ,0      ,0      ,0      ,0      ,1      ,1      ,0      ,1      ,0      ,1      ,0      ,1      ,1      ,2      ,1      ,1      ,1      ,0      ,1      ,1      ,2      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
56  ,CC000344  ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,1      ,0      ,1      ,1      ,0      ,1      ,2      ,2      ,1      ,2      ,3      ,2      ,0      ,1      ,0      ,1      ,1      ,1      ,4      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
57  ,CC000434  ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,1      ,0      ,1      ,1      ,1      ,1      ,2      ,1      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
58  ,CC000441  ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,1      ,0      ,1      ,0      ,2      ,1      ,0      ,2      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
59  ,NZC05     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,6      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
60  ,CC000081  ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,1      ,1      ,1      ,1      ,1      ,1      ,1      ,1      ,1      ,0      ,1      ,1      ,0      ,0      ,1      ,1      ,1      ,0      ,1      ,1      ,1      ,1      ,2      ,2      ,2      ,1      ,2      ,0      ,1      ,2      ,3      ,0      ,0      ,0      ,0      ,0      
61  ,CC000377  ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,1      ,1      ,1      ,1      ,0      ,1      ,1      ,2      ,2      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
62  ,CC000225  ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,1      ,1      ,0      ,2      ,0      ,1      ,1      ,2      ,1      ,1      ,0      ,1      ,3      ,2      ,0      ,1      ,1      ,3      ,0      ,2      ,0      ,2      ,1      ,0      ,2      ,1      ,2      ,1      ,1      ,1      ,1      ,2      ,0      ,0      ,0      ,0      
63  ,NZC197    ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,1      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
64  ,CC000510  ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,2      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
65  ,NZC102    ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,2      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
66  ,CC000426  ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,3      ,0      ,1      ,2      ,1      ,1      ,2      ,2      ,2      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
67  ,CC000459  ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0      ,1      ,0      ,0      ,1      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
68  ,CC000067  ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0      ,2      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,0      ,0      ,2      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,1      ,0      ,1      ,0      ,0      ,1      ,1      ,2      ,0      ,0      ,0      
69  ,NZC119    ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0      ,5      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
70  ,NZC120    ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
