    ,CardCode,MONTH1,MONTH2,MONTH3,MONTH4,MONTH5,MONTH6,MONTH7,MONTH8,MONTH9,MONTH10,MONTH11,MONTH12,MONTH13,MONTH14,MONTH15,MONTH16,MONTH17,MONTH18,MONTH19,MONTH20,MONTH21,MONTH22,MONTH23,MONTH24,MONTH25,MONTH26,MONTH27,MONTH28,MONTH29,MONTH30,MONTH31,MONTH32,MONTH33,MONTH34,MONTH35,MONTH36,MONTH37,MONTH38,MONTH39,MONTH40,MONTH41,MONTH42,MONTH43,MONTH44,MONTH45,MONTH46,MONTH47,MONTH48,MONTH49,MONTH50,MONTH51,MONTH52,MONTH53,MONTH54,MONTH55,MONTH56,MONTH57,MONTH58,MONTH59,MONTH60,MONTH61,MONTH62,MONTH63,MONTH64,MONTH65,MONTH66,MONTH67,MONTH68,MONTH69,MONTH70,MONTH71,MONTH72,MONTH73,MONTH74,MONTH75,MONTH76,MONTH77,MONTH78,MONTH79,MONTH80,MONTH81,MONTH82,MONTH83
11  ,C073    ,2     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,2      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
12  ,G035    ,1     ,1     ,0     ,0     ,2     ,1     ,0     ,0     ,0     ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
13  ,S146    ,2     ,1     ,0     ,0     ,0     ,0     ,0     ,1     ,1     ,1      ,1      ,1      ,1      ,0      ,0      ,0      ,0      ,0      ,2      ,0      ,0      ,0      ,1      ,0      ,1      ,0      ,1      ,1      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,0      ,0      ,1      ,1      ,0      ,0      ,0      ,0      ,0      ,2      ,0      ,1      ,1      ,2      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
14  ,S049    ,4     ,1     ,0     ,0     ,1     ,0     ,0     ,2     ,1     ,0      ,0      ,0      ,0      ,0      ,2      ,0      ,2      ,4      ,1      ,2      ,2      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,3      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
15  ,R023    ,1     ,2     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
16  ,S132    ,1     ,1     ,0     ,0     ,0     ,0     ,0     ,1     ,1     ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,1      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,0      ,0      ,2      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,3      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
17  ,M046    ,1     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,2     ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,2      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,1      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,0      ,1      ,1      ,3      ,0      ,3      ,0      ,1      ,0      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,2      ,2      ,1      ,3      ,5      ,1      ,1      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
18  ,F003    ,2     ,9     ,6     ,0     ,2     ,9     ,2     ,4     ,1     ,4      ,3      ,3      ,1      ,2      ,1      ,3      ,0      ,2      ,3      ,3      ,0      ,2      ,5      ,7      ,3      ,6      ,1      ,0      ,3      ,3      ,0      ,6      ,2      ,6      ,6      ,7      ,8      ,1      ,4      ,3      ,9      ,5      ,4      ,2      ,1      ,2      ,3      ,4      ,1      ,0      ,1      ,0      ,3      ,2      ,1      ,2      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,2      ,1      ,1      ,2      ,0      ,0      ,2      ,0      ,3      ,1      ,2      ,1      ,1      ,0      ,0      ,0      ,0      
19  ,V002    ,1     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,3     ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,1      ,0      ,2      ,5      ,1      ,4      ,1      ,3      ,0      ,0      ,0      ,0      ,5      ,0      ,0      ,4      ,1      ,3      ,5      ,1      ,1      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,1      ,0      ,1      ,0      ,3      ,4      ,2      ,1      ,1      ,1      ,2      ,0      ,1      ,1      ,0      ,0      ,0      
20  ,S029    ,1     ,0     ,0     ,1     ,0     ,2     ,2     ,1     ,0     ,0      ,0      ,2      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,2      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,2      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,1      ,3      ,2      ,0      ,0      ,0      ,0      ,0      ,0      ,2      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
21  ,B041    ,1     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
22  ,S084    ,1     ,2     ,0     ,0     ,0     ,1     ,0     ,1     ,0     ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,0      ,1      ,0      ,3      ,6      ,0      ,5      ,0      ,0      ,2      ,3      ,0      ,1      ,0      ,1      ,2      ,1      ,0      ,2      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
23  ,T022    ,1     ,3     ,2     ,0     ,0     ,0     ,2     ,3     ,2     ,0      ,0      ,4      ,2      ,1      ,1      ,0      ,0      ,0      ,2      ,2      ,1      ,2      ,1      ,2      ,1      ,1      ,0      ,3      ,2      ,1      ,1      ,1      ,0      ,0      ,1      ,1      ,2      ,1      ,1      ,0      ,0      ,2      ,5      ,2      ,1      ,0      ,0      ,0      ,2      ,0      ,4      ,2      ,1      ,0      ,1      ,1      ,1      ,1      ,0      ,0      ,0      ,1      ,0      ,1      ,0      ,1      ,2      ,0      ,0      ,2      ,1      ,1      ,1      ,3      ,1      ,0      ,0      ,3      ,1      ,1      ,0      ,0      ,0      
24  ,S080    ,1     ,0     ,0     ,0     ,0     ,0     ,0     ,1     ,0     ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,1      ,0      ,0      ,0      ,1      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
25  ,H061    ,1     ,0     ,0     ,1     ,0     ,0     ,0     ,0     ,0     ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
26  ,I014    ,2     ,0     ,0     ,1     ,0     ,0     ,0     ,0     ,0     ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,1      ,0      ,0      ,1      ,0      ,0      ,1      ,0      ,0      ,0      ,1      ,0      ,1      ,0      ,1      ,0      ,0      ,0      ,0      ,1      ,0      ,0      ,0      ,1      ,2      ,0      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      
27  ,Z012    ,2     ,0     ,4     ,1     ,0     ,1     ,2     ,0     ,0     ,0      ,0      ,9      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
28  ,B017    ,3     ,0     ,0     ,0     ,0     ,0     ,0     ,1     ,0     ,0      ,0      ,0      ,1      ,0      ,0      ,1      ,0      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,1      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,0      
29  ,A004    ,3     ,3     ,3     ,5     ,4     ,6     ,7     ,9     ,4     ,5      ,5      ,5      ,2      ,2      ,1      ,5      ,2      ,1      ,9      ,12     ,14     ,3      ,2      ,2      ,8      ,3      ,2      ,2      ,2      ,9      ,6      ,3      ,4      ,8      ,1      ,5      ,5      ,3      ,2      ,2      ,2      ,6      ,2      ,6      ,3      ,1      ,1      ,1      ,8      ,2      ,0      ,2      ,4      ,7      ,3      ,7      ,4      ,4      ,3      ,6      ,4      ,4      ,6      ,6      ,3      ,6      ,5      ,10     ,17     ,9      ,11     ,7      ,9      ,5      ,3      ,4      ,5      ,7      ,1      ,0      ,0      ,0      ,0      
30  ,T115    ,4     ,3     ,7     ,0     ,0     ,0     ,0     ,0     ,0     ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
31  ,T101    ,1     ,0     ,0     ,0     ,1     ,1     ,0     ,0     ,1     ,3      ,4      ,8      ,5      ,1      ,6      ,4      ,4      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
32  ,N082    ,1     ,3     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
33  ,T079    ,2     ,1     ,0     ,0     ,2     ,1     ,1     ,1     ,0     ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
34  ,R022    ,2     ,1     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,1      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,2      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
35  ,S199    ,3     ,1     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
36  ,H008    ,5     ,3     ,0     ,1     ,0     ,0     ,0     ,0     ,0     ,0      ,0      ,1      ,1      ,3      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,0      ,0      ,2      ,1      ,1      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,2      ,0      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
37  ,A141    ,2     ,3     ,1     ,5     ,2     ,1     ,0     ,1     ,0     ,1      ,0      ,2      ,1      ,0      ,2      ,0      ,2      ,0      ,2      ,1      ,0      ,0      ,1      ,4      ,2      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
38  ,R001    ,4     ,2     ,0     ,3     ,3     ,0     ,1     ,1     ,0     ,0      ,0      ,2      ,3      ,1      ,0      ,4      ,0      ,0      ,0      ,1      ,1      ,0      ,0      ,0      ,2      ,0      ,1      ,0      ,1      ,0      ,0      ,0      ,2      ,0      ,1      ,1      ,2      ,0      ,0      ,1      ,4      ,3      ,1      ,0      ,0      ,0      ,1      ,1      ,0      ,0      ,1      ,1      ,0      ,1      ,1      ,0      ,2      ,0      ,1      ,2      ,2      ,2      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,1      ,0      ,0      ,3      ,1      ,0      ,2      ,0      ,0      ,0      ,0      
